Volume,X,Y,Z,Edep_keV,StepLength_nm,Edep_J
World,7702.24,6088.95,1971.71,6.3254,1146620.0,1.01332908e-15
World,7702.24,6088.95,1971.71,1.84049,142002.0,2.94846498e-16
World,5084.11,4325.73,1115.36,2.9291,302428.0,4.6924182e-16
Cladding_PV,22.7631,56.1555,-2463.14,7.43356,8770.66,1.190856312e-15
Cladding_PV,25.9309,54.9761,-2455.55,7.98275,8998.13,1.27883655e-15
Cladding_PV,26.7747,55.5641,-2447.17,10.3598,7993.23,1.6596399599999999e-15
Cladding_PV,22.1627,59.7006,-2443.0,15.0368,7097.35,2.40889536e-15
Cladding_PV,17.7412,63.7086,-2440.27,5.8678,4990.3,9.4002156e-16
Cladding_PV,13.6341,65.3577,-2441.36,11.7336,5618.63,1.8797227199999996e-15
Cladding_PV,11.3648,69.5632,-2442.68,6.38572,2877.61,1.022992344e-15
Cladding_PV,9.85497,71.0286,-2444.13,16.015,2592.94,2.565603e-15
Cladding_PV,9.11621,72.2277,-2445.83,5.95038,587.789,9.53250876e-16
Cladding_PV,-29.2934,-64.6617,-2413.22,9.54122,19352.0,1.5285034439999997e-15
TiO2_Coating_PV,-30.1446,-68.6754,-2394.68,0.959884,1327.14,1.537734168e-16
Gd2O3_Coating_PV,-30.1689,-68.9922,-2393.4,0.490182,957.424,7.85271564e-17
World,-30.1968,-69.1983,-2392.47,0.122463,523175.0,1.96185726e-17
World,-46.3205,-225.61,-1893.54,1.80106,12405600.0,2.88529812e-16
World,-46.3205,-225.61,-1893.54,1.434,96827.6,2.2972679999999997e-16
Cladding_PV,6.37287,33.1232,-2452.39,11.5481,32803.7,1.85000562e-15
Cladding_PV,3.58226,30.8481,-2420.25,8.35708,31796.1,1.338804216e-15
Cladding_PV,1.09693,5.56217,-2402.14,1.00591,1788.13,1.6114678200000002e-16
Core_PV,0.660768,4.0464,-2401.3,2.98079,9076.31,4.775225579999999e-16
Cladding_PV,-1.91233,-3.6267,-2397.38,7.30347,30398.6,1.1700158939999999e-15
Cladding_PV,-27.0923,-2.05003,-2381.2,7.17974,26273.9,1.150194348e-15
Cladding_PV,-48.7516,1.32934,-2367.32,9.52157,26654.6,1.525355514e-15
Cladding_PV,-69.0444,-3.30103,-2351.23,1.47363,8533.78,2.3607552599999997e-16
Gd2O3_Coating_PV,-75.0074,-6.63153,-2345.65,0.320591,247.866,5.1358678200000003e-17
World,-75.2017,-6.70527,-2345.52,3.46878,10340900.0,5.55698556e-16
Cladding_PV,49.1224,-16.101,-2488.89,4.40263,7467.7,7.05301326e-16
Cladding_PV,50.6039,-22.6873,-2486.07,4.2651,8149.17,6.8326902e-16
Cladding_PV,47.0617,-29.8171,-2486.04,2.89082,8502.8,4.63109364e-16
Cladding_PV,42.8897,-36.919,-2486.96,1.7331,7799.18,2.7764262e-16
Cladding_PV,42.3718,-41.3543,-2493.12,3.05699,5661.19,4.89729798e-16
Cladding_PV,39.1,-42.6699,-2497.42,1.63466,4348.28,2.61872532e-16
Cladding_PV,36.0988,-45.7108,-2497.76,3.51852,5045.78,5.63666904e-16
Cladding_PV,31.6498,-47.7878,-2497.05,1.70693,4714.01,2.73450186e-16
Cladding_PV,27.0794,-47.1332,-2497.47,4.762,4910.65,7.628723999999999e-16
Cladding_PV,22.338,-47.6097,-2496.72,1.69207,4490.13,2.71069614e-16
Cladding_PV,20.1687,-51.2932,-2495.63,1.86482,5806.22,2.9874416399999997e-16
Cladding_PV,15.5093,-54.3985,-2494.73,3.10549,5344.33,4.9749949799999995e-16
Cladding_PV,11.6488,-56.9296,-2492.28,4.92782,5266.01,7.894367639999999e-16
Cladding_PV,7.44432,-59.2,-2490.37,2.95405,6101.16,4.7323881e-16
Cladding_PV,2.732,-60.6283,-2487.08,7.41247,7607.44,1.187477694e-15
Cladding_PV,-4.03005,-62.0494,-2484.64,6.48854,9590.14,1.039464108e-15
Cladding_PV,-12.8626,-61.1047,-2482.74,8.90702,6100.73,1.4269046039999998e-15
Cladding_PV,-17.7258,-60.6235,-2485.98,5.97043,7667.32,9.56462886e-16
Cladding_PV,-21.059,-62.0364,-2492.23,7.54372,5650.67,1.208503944e-15
Cladding_PV,-20.1431,-61.935,-2497.52,1.9761,2683.1,3.1657121999999996e-16
World,-19.7669,-61.934,-2500.0,3.52701,8295850.0,5.65027002e-16
Cladding_PV,-18.7795,22.988,-2422.37,17.8835,31542.5,2.8649367e-15
Cladding_PV,-6.47033,30.547,-2394.78,9.85704,32527.7,1.579097808e-15
Cladding_PV,1.96767,30.468,-2363.83,11.5954,32379.7,1.85758308e-15
Cladding_PV,5.39702,31.0525,-2332.1,4.17126,26729.7,6.68235852e-16
Cladding_PV,-3.54625,37.563,-2308.13,9.60438,36181.6,1.5386216760000002e-15
Cladding_PV,-11.4456,38.0216,-2273.46,15.1486,34094.1,2.42680572e-15
Cladding_PV,-11.7147,37.0594,-2239.95,13.0822,35120.7,2.09576844e-15
Cladding_PV,-4.08667,48.7046,-2208.41,16.4906,36443.7,2.64179412e-15
Cladding_PV,13.5098,60.1421,-2179.51,10.7118,29650.0,1.71603036e-15
Cladding_PV,34.0481,66.4669,-2160.58,0.00968163,377.97,1.550997126e-18
