Volume,X,Y,Z,Edep_keV,StepLength_nm,Edep_J
World,67.8442,-31.9713,-2474.49,1.80112,11909700.0,2.88539424e-16
Cladding_PV,-47.185,-12.2952,-2445.47,4.9173,13625.4,7.8775146e-16
Cladding_PV,-46.6053,-14.3989,-2432.3,21.0521,17184.9,3.3725464199999998e-15
Cladding_PV,-50.9262,-12.343,-2416.26,13.4463,15917.3,2.15409726e-15
Cladding_PV,-57.1984,-9.63694,-2402.41,3.01396,9376.83,4.82836392e-16
Cladding_PV,-59.423,-7.53859,-2393.74,3.39789,9561.78,5.44341978e-16
Cladding_PV,-58.2433,-6.1892,-2384.56,12.1787,9554.38,1.9510277399999997e-15
Cladding_PV,-59.132,-2.61357,-2375.97,12.5121,10789.8,2.0044384199999998e-15
Cladding_PV,-57.5454,0.333534,-2366.03,3.98131,9485.83,6.37805862e-16
Cladding_PV,-58.0536,1.78281,-2356.95,6.37349,10759.1,1.021033098e-15
Cladding_PV,-56.9279,9.75604,-2350.38,8.67553,11057.8,1.389819906e-15
Cladding_PV,-60.2614,19.4744,-2347.64,5.44856,7513.88,8.728593119999999e-16
Cladding_PV,-63.4906,25.8925,-2348.87,9.8625,9412.48,1.5799725e-15
Cladding_PV,-66.941,33.4191,-2351.18,0.0778872,202.708,1.2477529440000001e-17
World,-67.1349,33.435,-2351.23,3.11279,10770300.0,4.986689579999999e-16
Cladding_PV,58.2175,-6.04293,-2304.24,7.67015,19707.3,1.2287580299999998e-15
Cladding_PV,57.9938,-0.902941,-2285.5,7.23221,19126.6,1.158600042e-15
Cladding_PV,61.3486,4.55211,-2267.77,3.84262,18428.0,6.15587724e-16
Cladding_PV,64.626,11.3273,-2251.24,6.46616,19084.2,1.035878832e-15
Cladding_PV,55.7425,-4.44372,-2256.3,5.81973,20005.6,9.32320746e-16
Cladding_PV,38.4216,-12.5403,-2260.95,11.1675,21833.0,1.7890335e-15
Cladding_PV,17.2012,-15.0309,-2262.52,4.34023,20597.7,6.95304846e-16
Cladding_PV,-2.07155,-9.68674,-2261.75,6.95044,16435.7,1.113460488e-15
Cladding_PV,-18.1317,-9.20664,-2259.8,7.58867,18854.2,1.215704934e-15
Cladding_PV,-36.1339,-7.01108,-2256.12,3.61315,18740.4,5.7882663e-16
Cladding_PV,-52.6535,-0.398331,-2251.52,5.309,17603.6,8.505018e-16
Cladding_PV,-66.2941,5.10945,-2242.46,6.07339,11691.6,9.72957078e-16
World,-74.5131,8.53185,-2235.4,2.98376,12196200.0,4.77998352e-16
Cladding_PV,40.6117,-18.3602,-2042.9,46.2043,20153.8,7.40192886e-15
Cladding_PV,-0.204043,-10.9992,-2492.88,2.61958,6629.97,4.1965671599999997e-16
Cladding_PV,-4.42921,-9.10157,-2497.5,0.723118,2768.14,1.158435036e-16
World,-5.32844,-8.46369,-2500.0,0.392805,2543410.0,6.2927361e-17
World,-410.198,1258.91,-4661.79,3.81027,5837500.0,6.104052539999999e-16
World,-410.198,1258.91,-4661.79,1.75762,132170.0,2.81570724e-16
Cladding_PV,-34.7808,11.6998,-2493.9,2.87273,16034.2,4.602113459999999e-16
Cladding_PV,-46.1603,22.3519,-2491.23,5.89317,14725.2,9.44085834e-16
Cladding_PV,-58.7074,28.1627,-2486.74,6.10944,10799.6,9.78732288e-16
World,-67.2994,33.1027,-2483.06,1.91032,11682300.0,3.06033264e-16
Cladding_PV,65.6423,22.7109,-1752.99,4.1491,11797.5,6.646858199999999e-16
World,71.2394,23.4508,-1742.82,1.96867,15195400.0,3.1538093399999997e-16
Cladding_PV,6.07894,4.30483,-2499.3,0.809056,627.23,1.2961077119999998e-16
Cladding_PV,5.6733,4.69239,-2499.04,0.43962,609.155,7.0427124e-17
Cladding_PV,5.27123,4.97206,-2498.69,1.53843,755.616,2.46456486e-16
Cladding_PV,4.9365,5.17608,-2498.06,1.37209,1061.77,2.19808818e-16
Cladding_PV,4.81591,5.3425,-2497.05,2.20534,1800.66,3.53295468e-16
Cladding_PV,5.60226,5.93927,-2495.66,4.1835,2716.66,6.701967e-16
Cladding_PV,7.2262,7.41822,-2494.49,3.36998,2936.2,5.39870796e-16
Cladding_PV,9.27116,6.12115,-2493.52,25.733,7272.42,4.1224266e-15
World,-4518.42,4109.49,-1344.93,1.53365,5995750.0,2.4569072999999997e-16
World,-1478.84,-451.919,-3443.29,1.46533,7930570.0,2.34745866e-16
World,-2581.86,1047.64,-1103.19,2.25512,10101300.0,3.6127022399999994e-16
World,2396.85,849.781,-4259.32,1.71146,8266930.0,2.74175892e-16
Cladding_PV,-2.59637,-65.6177,-2495.94,3.09794,10325.4,4.96289988e-16
Cladding_PV,-7.17028,-74.1241,-2498.66,0.709463,773.258,1.136559726e-16
World,-7.68533,-74.6052,-2498.98,2.8807,14293000.0,4.6148814e-16
Cladding_PV,-48.6016,-1.41841,-2347.65,9.68114,24695.0,1.5509186279999998e-15
Cladding_PV,-49.0841,17.5259,-2332.35,130.037,23302.6,2.08319274e-14
